Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,82968B103,SIRI ,"54,289,063","342,563,987.53",0.174,Sirius XM Holdings Inc,Common Stock,Communication Services,09/01/2021
QQQ,848637104,SPLK ,"2,175,180","340,633,188.00",0.173,Splunk Inc,Common Stock,Information Technology,09/01/2021
QQQ,92343E102,VRSN ,"1,494,652","326,596,408.52",0.166,VeriSign Inc,Common Stock,Information Technology,09/01/2021
QQQ,156782104,CERN ,"3,998,825","304,230,606.00",0.155,Cerner Corp,Common Stock,Health Care,09/01/2021
QQQ,256746108,DLTR ,"3,078,313","277,017,386.87",0.141,Dollar Tree Inc,Common Stock,Consumer Discretionary,09/01/2021
QQQ,45337C102,INCY ,"2,918,542","224,815,290.26",0.114,Incyte Corp,Common Stock,Health Care,09/01/2021
QQQ,M22465104,CHKP ,"1,795,510","224,600,345.90",0.114,Check Point Software Technologies Ltd,Common Stock,Information Technology,09/01/2021
QQQ,89677Q107,TCOM ,"6,991,832","221,571,156.08",0.113,Trip.com Group Ltd ADR,American Depository Receipt,Consumer Discretionary,09/01/2021
QQQ,35137L105,FOXA ,"4,338,866","160,538,042.00",0.082,Fox Corp,Common Stock,Communication Services,09/01/2021
QQQ,35137L204,FOX ,"3,361,115","115,084,577.60",0.059,Fox Corp,Common Stock,Communication Services,09/01/2021
